datetime,power,total_particles,length_per_rank,num_procs,box_length,RAM_GB,gen_time,splitters_time,dist_time,total_time,device,seed,mode
2025-09-23 10:01:58,8,100000000,195313,512,100000000.0,0.00,2.501353,0.392710,9.302302,12.196364,cpu,69,strong
2025-09-23 10:02:35,8,100000000,1562500,64,100000000.0,0.00,13.519151,0.443838,0.476096,14.439085,cpu,69,strong
2025-09-23 10:02:33,8,100000000,781250,128,100000000.0,0.00,8.219883,0.316180,0.298544,8.834607,cpu,69,strong
2025-09-23 10:02:38,8,100000000,2000000,50,100000000.0,0.00,17.083610,0.553298,0.473974,18.110882,cpu,69,strong
2025-09-23 10:02:33,8,100000000,390625,256,100000000.0,0.00,4.385520,0.279426,3.041828,7.706774,cpu,69,strong
2025-09-23 10:02:30,8,100000000,195313,512,100000000.0,0.00,2.496524,0.384211,9.233509,12.114244,cpu,69,strong
2025-09-23 10:02:47,8,100000000,3125000,32,100000000.0,0.01,25.721943,0.837680,0.623371,27.182995,cpu,69,strong
2025-09-23 10:02:56,8,100000000,1562500,64,100000000.0,0.00,13.611463,0.446331,0.479100,14.536894,cpu,69,strong
2025-09-23 10:02:56,8,100000000,4166667,24,100000000.0,0.01,33.574935,1.020392,0.764676,35.360004,cpu,69,strong
2025-09-23 10:02:55,8,100000000,781250,128,100000000.0,0.00,8.236269,0.314835,0.294865,8.845969,cpu,69,strong
2025-09-23 10:03:02,8,100000000,2000000,50,100000000.0,0.00,17.024494,0.553767,0.478440,18.056700,cpu,69,strong
2025-09-23 10:02:58,8,100000000,390625,256,100000000.0,0.00,4.373277,0.276641,3.266814,7.916733,cpu,69,strong
2025-09-23 10:03:01,8,100000000,195313,512,100000000.0,0.00,2.483069,0.423508,9.264410,12.170987,cpu,69,strong
2025-09-23 10:03:13,8,100000000,6250000,16,100000000.0,0.03,48.594112,1.077552,1.086762,50.758426,cpu,69,strong
2025-09-23 10:03:16,8,100000000,1562500,64,100000000.0,0.00,13.588036,0.444883,0.491521,14.524439,cpu,69,strong
2025-09-23 10:03:19,8,100000000,3125000,32,100000000.0,0.01,25.671195,0.847492,0.622152,27.140839,cpu,69,strong
2025-09-23 10:03:18,8,100000000,781250,128,100000000.0,0.00,8.263156,0.313910,0.297449,8.874516,cpu,69,strong
2025-09-23 10:03:25,8,100000000,2000000,50,100000000.0,0.00,17.078191,0.552343,0.478945,18.109479,cpu,69,strong
2025-09-23 10:03:23,8,100000000,390625,256,100000000.0,0.00,4.389347,0.278577,3.220211,7.888136,cpu,69,strong
2025-09-23 10:03:37,8,100000000,4166667,24,100000000.0,0.01,33.530070,1.011941,0.765651,35.307662,cpu,69,strong
2025-09-23 10:03:37,8,100000000,1562500,64,100000000.0,0.00,13.546899,0.458223,0.474598,14.479720,cpu,69,strong
2025-09-23 10:03:40,8,100000000,781250,128,100000000.0,0.00,8.232679,0.315251,0.298190,8.846120,cpu,69,strong
2025-09-23 10:03:32,8,100000000,195313,512,100000000.0,0.00,2.483791,0.398434,9.239222,12.121447,cpu,69,strong
2025-09-23 10:03:49,8,100000000,2000000,50,100000000.0,0.00,17.017299,0.552097,0.474630,18.044026,cpu,69,strong
2025-09-23 10:03:52,8,100000000,3125000,32,100000000.0,0.01,25.746566,0.844036,0.642000,27.232603,cpu,69,strong
2025-09-23 10:03:48,8,100000000,390625,256,100000000.0,0.00,4.380813,0.278124,3.262732,7.921669,cpu,69,strong
2025-09-23 10:03:59,8,100000000,12500000,8,100000000.0,0.11,88.803785,1.846604,2.023238,92.673627,cpu,69,strong
2025-09-23 10:03:58,8,100000000,1562500,64,100000000.0,0.00,13.514838,0.568982,0.480035,14.563855,cpu,69,strong
2025-09-23 10:04:02,8,100000000,781250,128,100000000.0,0.00,8.231392,0.314024,0.294656,8.840073,cpu,69,strong
2025-09-23 10:04:10,8,100000000,6250000,16,100000000.0,0.03,48.516666,1.069071,1.092311,50.678048,cpu,69,strong
2025-09-23 10:04:13,8,100000000,2000000,50,100000000.0,0.00,17.023369,0.553220,0.483477,18.060067,cpu,69,strong
2025-09-23 10:04:04,8,100000000,195313,512,100000000.0,0.00,2.494644,0.390154,9.377797,12.262595,cpu,69,strong
2025-09-23 10:04:18,8,100000000,4166667,24,100000000.0,0.01,33.381285,1.021345,0.770932,35.173562,cpu,69,strong
2025-09-23 10:04:13,8,100000000,390625,256,100000000.0,0.00,4.382323,0.267624,3.237319,7.887266,cpu,69,strong
2025-09-23 10:04:24,8,100000000,3125000,32,100000000.0,0.01,25.855033,0.842456,0.632321,27.329810,cpu,69,strong
2025-09-23 10:04:26,8,100000000,16666667,6,100000000.0,0.19,112.847369,2.532550,2.417953,117.797872,cpu,69,strong
2025-09-23 10:04:57,8,100000000,3125000,32,100000000.0,0.01,25.768490,0.837921,0.619744,27.226154,cpu,69,strong
2025-09-23 10:04:59,8,100000000,4166667,24,100000000.0,0.01,33.595875,1.025370,0.768628,35.389874,cpu,69,strong
2025-09-23 10:05:07,8,100000000,6250000,16,100000000.0,0.03,48.500894,1.065366,1.077403,50.643662,cpu,69,strong
2025-09-23 10:05:16,8,100000000,25000000,4,100000000.0,0.40,156.612257,3.611852,3.574422,163.798532,cpu,69,strong
2025-09-23 10:05:39,8,100000000,4166667,24,100000000.0,0.01,33.397181,1.029077,0.762116,35.188373,cpu,69,strong
2025-09-23 10:05:41,8,100000000,12500000,8,100000000.0,0.11,88.417073,1.851272,2.023983,92.292328,cpu,69,strong
2025-09-23 10:06:04,8,100000000,6250000,16,100000000.0,0.03,48.472160,1.061203,1.083227,50.616590,cpu,69,strong
2025-09-23 10:06:36,8,100000000,16666667,6,100000000.0,0.19,112.696038,2.458842,2.427147,117.582027,cpu,69,strong
